extid,id,lbl,lvl,parent,root,spid,src,sym,priority,prefid,enabled
CL:0001047,CT15C28CADCF080753,"CD4-positive, CD25-positive, CCR4-positive, alpha-beta regulatory T cell",,,CL:0000084,1,cl,CCR+ Treg,50,CT5229C817BCB2D95C,True
CL:0002426,CTF5A496AACAB527FE,"CD11b-positive, CD27-positive natural killer cell",,,CL:0000623,1,cl,"CD11b-positive, CD27-positive natural killer",50,CTF5A496AACAB527FE,True
CL:0002426,CTF5A496AACAB527FE,"CD11b-positive, CD27-positive natural killer cell",,,CL:0000623,1,cl,"CD11b-positive, CD27-positive natural killer cell",50,CTF5A496AACAB527FE,True
CL:0000939,CT5585F0A46A939FE1,"CD16-positive, CD56-dim natural killer cell",,,CL:0000623,1,cl,CD16+CD56+ NK,50,CT7346EBF998A936BB,True
CL:0000939,CT5585F0A46A939FE1,"CD16-positive, CD56-dim natural killer cell",,,CL:0000623,1,cl,CD16+CD56+ NK cell,50,CT7346EBF998A936BB,True
CL:0000938,CT9273D5B9DDCD5FD0,"CD16-negative, CD56-bright natural killer cell",,,CL:0000623,1,cl,CD16-CD56bright NK,50,CTD720F4A09801B5F9,True
CL:0000938,CT9273D5B9DDCD5FD0,"CD16-negative, CD56-bright natural killer cell",,,CL:0000623,1,cl,CD16-CD56bright NK cell,50,CTD720F4A09801B5F9,True
CL:0000938,CT83D78AC317010065,"CD16-negative, CD56-bright natural killer cell",,,CL:0000623,1,cl,"CD16-negative, CD56-bright NK",50,CTD720F4A09801B5F9,True
CL:0000938,CT83D78AC317010065,"CD16-negative, CD56-bright natural killer cell",,,CL:0000623,1,cl,"CD16-negative, CD56-bright NK cell",50,CTD720F4A09801B5F9,True
CL:0000938,CTD720F4A09801B5F9,"CD16-negative, CD56-bright natural killer cell",,,CL:0000623,1,cl,"CD16-negative, CD56-bright natural killer",50,CTD720F4A09801B5F9,True
CL:0000938,CTD720F4A09801B5F9,"CD16-negative, CD56-bright natural killer cell",,,CL:0000623,1,cl,"CD16-negative, CD56-bright natural killer cell",50,CTD720F4A09801B5F9,True
CL:0000939,CT03F5D51BC44DB133,"CD16-positive, CD56-dim natural killer cell",,,CL:0000623,1,cl,"CD16-positive, CD56-dim NK",50,CT7346EBF998A936BB,True
CL:0000939,CT03F5D51BC44DB133,"CD16-positive, CD56-dim natural killer cell",,,CL:0000623,1,cl,"CD16-positive, CD56-dim NK cell",50,CT7346EBF998A936BB,True
CL:0000939,CT7346EBF998A936BB,"CD16-positive, CD56-dim natural killer cell",,,CL:0000623,1,cl,"CD16-positive, CD56-dim natural killer",50,CT7346EBF998A936BB,True
CL:0000939,CT7346EBF998A936BB,"CD16-positive, CD56-dim natural killer cell",,,CL:0000623,1,cl,"CD16-positive, CD56-dim natural killer cell",50,CT7346EBF998A936BB,True
CL:0000939,CT22FC6E4CAF204CD0,"CD16-positive, CD56-dim natural killer cell",,,CL:0000623,1,cl,"CD16-positive, CD56-low NK",50,CT7346EBF998A936BB,True
CL:0000939,CT22FC6E4CAF204CD0,"CD16-positive, CD56-dim natural killer cell",,,CL:0000623,1,cl,"CD16-positive, CD56-low NK cell",50,CT7346EBF998A936BB,True
CL:0000939,CTEA9D728B83EB1DEC,"CD16-positive, CD56-dim natural killer cell",,,CL:0000623,1,cl,"CD16-positive, CD56-low natural killer",50,CT7346EBF998A936BB,True
CL:0000939,CTEA9D728B83EB1DEC,"CD16-positive, CD56-dim natural killer cell",,,CL:0000623,1,cl,"CD16-positive, CD56-low natural killer cell",50,CT7346EBF998A936BB,True
CL:0000939,CTAE497673EB05EC5C,"CD16-positive, CD56-dim natural killer cell",,,CL:0000623,1,cl,"CD16-positive, CD56-positive NK",50,CT7346EBF998A936BB,True
CL:0000939,CTAE497673EB05EC5C,"CD16-positive, CD56-dim natural killer cell",,,CL:0000623,1,cl,"CD16-positive, CD56-positive NK cell",50,CT7346EBF998A936BB,True
CL:0000939,CT767954ABBF456D2F,"CD16-positive, CD56-dim natural killer cell",,,CL:0000623,1,cl,"CD16-positive, CD56-positive natural killer",50,CT7346EBF998A936BB,True
CL:0000939,CT767954ABBF456D2F,"CD16-positive, CD56-dim natural killer cell",,,CL:0000623,1,cl,"CD16-positive, CD56-positive natural killer cell",50,CT7346EBF998A936BB,True
CL:0002037,CTCBD92604CB30BC1F,"CD2-positive, CD5-positive, CD44-positive alpha-beta intraepithelial T cell",,,CL:0000084,1,cl,"CD2-positive, CD5-positive, CD44-positive alpha-beta intraepithelial ",50,CTCBD92604CB30BC1F,True
CL:0002037,CTCBD92604CB30BC1F,"CD2-positive, CD5-positive, CD44-positive alpha-beta intraepithelial T cell",,,CL:0000084,1,cl,"CD2-positive, CD5-positive, CD44-positive alpha-beta intraepithelial T",50,CTCBD92604CB30BC1F,True
CL:0002037,CTCBD92604CB30BC1F,"CD2-positive, CD5-positive, CD44-positive alpha-beta intraepithelial T cell",,,CL:0000084,1,cl,"CD2-positive, CD5-positive, CD44-positive alpha-beta intraepithelial T cell",50,CTCBD92604CB30BC1F,True
CL:0002432,CT3C272214E9CEC149,"CD24-positive, CD4 single-positive thymocyte",,,CL:0000084,1,cl,"CD24-positive, CD4 single-positive semimature thymocyte",50,CT82193F3148B78787,True
CL:0002432,CT82193F3148B78787,"CD24-positive, CD4 single-positive thymocyte",,,CL:0000084,1,cl,"CD24-positive, CD4 single-positive thymocyte",50,CT82193F3148B78787,True
CL:0002434,CTCA9DB9AF7D2FE3ED,"CD24-positive, CD8 single-positive thymocyte",,,CL:0000084,1,cl,"CD24-positive, CD8 single-positive semimature thymocyte",50,CTBBD24C16A31334C1,True
CL:0002434,CTBBD24C16A31334C1,"CD24-positive, CD8 single-positive thymocyte",,,CL:0000084,1,cl,"CD24-positive, CD8 single-positive thymocyte",50,CTBBD24C16A31334C1,True
CL:0002126,CT60EEAC37A0B1B995,"CD25-positive, CD27-positive immature gamma-delta T cell",,,CL:0000084,1,cl,"CD25-positive, CD27-positive immature gamma-delta ",50,CT60EEAC37A0B1B995,True
CL:0002126,CT60EEAC37A0B1B995,"CD25-positive, CD27-positive immature gamma-delta T cell",,,CL:0000084,1,cl,"CD25-positive, CD27-positive immature gamma-delta T",50,CT60EEAC37A0B1B995,True
CL:0002126,CT60EEAC37A0B1B995,"CD25-positive, CD27-positive immature gamma-delta T cell",,,CL:0000084,1,cl,"CD25-positive, CD27-positive immature gamma-delta T cell",50,CT60EEAC37A0B1B995,True
