desc,id,label,syn,syn_typ,syn_typ_id
"A type II NK T cell that has been recently activated, secretes interleukin-4, and has the phenotype CD69-positive and downregulated NK markers.",CL:0000933,type II NK T cell secreting interleukin-4,type II NKT cell secreting interleukin-4,exact,4
"A type II NK T cell that has been recently activated, secretes interferon-gamma, and has the phenotype CD69-positive and downregulated NK markers.",CL:0000932,type II NK T cell secreting interferon-gamma,type II NKT cell secreting interferon-gamma,exact,4
An alpha-beta T cell expressing NK call markers that is CD1d restricted and expresses a diverse TCR repertoire. Type II NKT cells do not become activated by alpha-galactosylceramide when presented by CD1d.,CL:0000922,type II NK T cell,type II NKT cell,exact,4
"A type II NK T cell that has been recently activated, secretes interleukin-4, and has the phenotype CD69-positive and downregulated NK markers.",CL:0000933,type II NK T cell secreting interleukin-4,type II NK T-lymphocyte secreting interleukin-4,exact,4
"A type II NK T cell that has been recently activated, secretes interferon-gamma, and has the phenotype CD69-positive and downregulated NK markers.",CL:0000932,type II NK T cell secreting interferon-gamma,type II NK T-lymphocyte secreting interferon-gamma,exact,4
An alpha-beta T cell expressing NK call markers that is CD1d restricted and expresses a diverse TCR repertoire. Type II NKT cells do not become activated by alpha-galactosylceramide when presented by CD1d.,CL:0000922,type II NK T cell,type II NK T-lymphocyte,exact,4
"A type II NK T cell that has been recently activated, secretes interleukin-4, and has the phenotype CD69-positive and downregulated NK markers.",CL:0000933,type II NK T cell secreting interleukin-4,type II NK T-cell secreting interleukin-4,exact,4
"A type II NK T cell that has been recently activated, secretes interferon-gamma, and has the phenotype CD69-positive and downregulated NK markers.",CL:0000932,type II NK T cell secreting interferon-gamma,type II NK T-cell secreting interferon-gamma,exact,4
An alpha-beta T cell expressing NK call markers that is CD1d restricted and expresses a diverse TCR repertoire. Type II NKT cells do not become activated by alpha-galactosylceramide when presented by CD1d.,CL:0000922,type II NK T cell,type II NK T-cell,exact,4
"A type II NK T cell that has been recently activated, secretes interleukin-4, and has the phenotype CD69-positive and downregulated NK markers.",CL:0000933,type II NK T cell secreting interleukin-4,type II NK T lymphocyte secreting interleukin-4,exact,4
"A type II NK T cell that has been recently activated, secretes interferon-gamma, and has the phenotype CD69-positive and downregulated NK markers.",CL:0000932,type II NK T cell secreting interferon-gamma,type II NK T lymphocyte secreting interferon-gamma,exact,4
An alpha-beta T cell expressing NK call markers that is CD1d restricted and expresses a diverse TCR repertoire. Type II NKT cells do not become activated by alpha-galactosylceramide when presented by CD1d.,CL:0000922,type II NK T cell,type II NK T lymphocyte,exact,4
"A type II NK T cell that has been recently activated, secretes interleukin-4, and has the phenotype CD69-positive and downregulated NK markers.",CL:0000933,type II NK T cell secreting interleukin-4,type II NK T cell secreting interleukin-4,label,5
"A type II NK T cell that has been recently activated, secretes interferon-gamma, and has the phenotype CD69-positive and downregulated NK markers.",CL:0000932,type II NK T cell secreting interferon-gamma,type II NK T cell secreting interferon-gamma,label,5
"A type II NK T cell that has been recently activated, secretes interleukin-4, and has the phenotype CD69-positive and downregulated NK markers.",CL:0000933,type II NK T cell secreting interleukin-4,type II NK T cell secreting IL-4,exact,4
"A type II NK T cell that has been recently activated, secretes interferon-gamma, and has the phenotype CD69-positive and downregulated NK markers.",CL:0000932,type II NK T cell secreting interferon-gamma,type II NK T cell secreting IFN-gamma,exact,4
An alpha-beta T cell expressing NK call markers that is CD1d restricted and expresses a diverse TCR repertoire. Type II NKT cells do not become activated by alpha-galactosylceramide when presented by CD1d.,CL:0000922,type II NK T cell,type II NK T cell,label,5
An alpha-beta T cell expressing NK cell markers that is CD1d restricted and expresses specific V-alpha chains. NK T cells of this type recognize the glycolipid alpha-galactosylceramide in the context of CD1d.,CL:0000921,type I NK T cell,type I NKT cell,exact,4
An alpha-beta T cell expressing NK cell markers that is CD1d restricted and expresses specific V-alpha chains. NK T cells of this type recognize the glycolipid alpha-galactosylceramide in the context of CD1d.,CL:0000921,type I NK T cell,type I NK T-lymphocyte,exact,4
An alpha-beta T cell expressing NK cell markers that is CD1d restricted and expresses specific V-alpha chains. NK T cells of this type recognize the glycolipid alpha-galactosylceramide in the context of CD1d.,CL:0000921,type I NK T cell,type I NK T-cell,exact,4
