actor,category,cell_id,cell_label,cytokine_id,cytokine_label,num_papers,score,cell_ref_id,cytokine_ref_id
cell,Positive,CL_0000084,T cell,CID_83,IFNG,809,4.28,,CK128EC732B281BF60
cell,Positive,CL_0000084,T cell,CID_110,IL2,701,5.3,,CKD21834C7D75FD77F
cell,Positive,CL_0000625,"CD8-positive, alpha-beta T cell",CID_83,IFNG,338,8.88,,CK128EC732B281BF60
cytokine,Positive,CL_0000084,T cell,CID_110,IL2,313,1.58,,CKD21834C7D75FD77F
cytokine,Unknown,CL_0000084,T cell,CID_110,IL2,260,4.52,,CKD21834C7D75FD77F
cell,Positive,CL_0000624,"CD4-positive, alpha-beta T cell",CID_83,IFNG,236,5.41,,CK128EC732B281BF60
cytokine,Unknown,CL_0000084,T cell,CID_83,IFNG,197,2.36,,CK128EC732B281BF60
cell,Positive,CL_0000084,T cell,CID_131,IL4,153,2.58,,CK6FE135B3F86FB707
cell,Positive,CL_0000084,T cell,CID_93,IL10,149,2.02,,CKC5CC1A269C01EC48
cell,Positive,CL_0000624,"CD4-positive, alpha-beta T cell",CID_110,IL2,113,3.63,,CKD21834C7D75FD77F
cytokine,Positive,CL_0000084,T cell,CID_83,IFNG,112,0.38,,CK128EC732B281BF60
cell,Positive,CL_0000084,T cell,CID_174,TNF,110,0.84,,CK80A1A727AC173EE7
cell,Positive,CL_0000084,T cell,CID_102,IL17,96,4.59,,CK2741EFAE1F31AD65
cell,Positive,CL_0000545,T-helper 1 cell,CID_83,IFNG,88,5.01,CTC3A8C3CBC245616A,CK128EC732B281BF60
cytokine,Unknown,CL_0000625,"CD8-positive, alpha-beta T cell",CID_83,IFNG,83,5.06,,CK128EC732B281BF60
cell,Positive,CL_0000084,T cell,CID_8,CD40LG,70,3.3,,CK5D414D323B3B33D2
cytokine,Positive,CL_0000084,T cell,CID_95,IL12,69,1.35,,CKB4EB2D2CC8BBB93D
cell,Positive,CL_0000624,"CD4-positive, alpha-beta T cell",CID_131,IL4,66,4.72,,CK6FE135B3F86FB707
cell,Positive,CL_0000084,T cell,CID_95,IL12,62,1.83,,CKB4EB2D2CC8BBB93D
cell,Positive,CL_0000624,"CD4-positive, alpha-beta T cell",CID_93,IL10,62,3.76,,CKC5CC1A269C01EC48
cytokine,Positive,CL_0000084,T cell,CID_93,IL10,61,0.56,,CKC5CC1A269C01EC48
cytokine,Positive,CL_0000792,"CD4-positive, CD25-positive, alpha-beta regulatory T cell",CID_110,IL2,60,3.12,CTB574584AD019ABB8,CKD21834C7D75FD77F
