actor,category,cell_id,cell_label,cytokine_id,cytokine_label,num_papers,score,cell_ref_id,cytokine_ref_id
cell,Positive,CL_0000084,T cell,CID_83,IFNG,809,4.28,,CK1B71668FDDECE3CF
cell,Positive,CL_0000084,T cell,CID_110,IL2,701,5.3,,CK4D687600656CECF1
cell,Positive,CL_0000625,"CD8-positive, alpha-beta T cell",CID_83,IFNG,338,8.88,,CK1B71668FDDECE3CF
cytokine,Positive,CL_0000084,T cell,CID_110,IL2,313,1.58,,CK4D687600656CECF1
cytokine,Unknown,CL_0000084,T cell,CID_110,IL2,260,4.52,,CK4D687600656CECF1
cell,Positive,CL_0000624,"CD4-positive, alpha-beta T cell",CID_83,IFNG,236,5.41,,CK1B71668FDDECE3CF
cytokine,Unknown,CL_0000084,T cell,CID_83,IFNG,197,2.36,,CK1B71668FDDECE3CF
cell,Positive,CL_0000084,T cell,CID_131,IL4,153,2.58,,CKAD8334A7AD4B4D2F
cell,Positive,CL_0000084,T cell,CID_93,IL10,149,2.02,,CK3A3EC71E6A0C53F0
cell,Positive,CL_0000624,"CD4-positive, alpha-beta T cell",CID_110,IL2,113,3.63,,CK4D687600656CECF1
cytokine,Positive,CL_0000084,T cell,CID_83,IFNG,112,0.38,,CK1B71668FDDECE3CF
cell,Positive,CL_0000084,T cell,CID_174,TNF,110,0.84,,CK6AF3B987F9CBCC56
cell,Positive,CL_0000084,T cell,CID_102,IL17,96,4.59,,CKE8FA6AFDA083A088
cell,Positive,CL_0000545,T-helper 1 cell,CID_83,IFNG,88,5.01,CTC3A8C3CBC245616A,CK1B71668FDDECE3CF
cytokine,Unknown,CL_0000625,"CD8-positive, alpha-beta T cell",CID_83,IFNG,83,5.06,,CK1B71668FDDECE3CF
cell,Positive,CL_0000084,T cell,CID_8,CD40LG,70,3.3,,CK5D414D323B3B33D2
cytokine,Positive,CL_0000084,T cell,CID_95,IL12,69,1.35,,CK04FD0805168B608B
cell,Positive,CL_0000624,"CD4-positive, alpha-beta T cell",CID_131,IL4,66,4.72,,CKAD8334A7AD4B4D2F
cell,Positive,CL_0000084,T cell,CID_95,IL12,62,1.83,,CK04FD0805168B608B
cell,Positive,CL_0000624,"CD4-positive, alpha-beta T cell",CID_93,IL10,62,3.76,,CK3A3EC71E6A0C53F0
