verb,polarity,actor,,
abolish,negative,,,
abrogate,negative,,,
accelerate,positive,,,
accompany,neutral,,,
accumulate,neutral,,,
achieved,neutral,,,
acquire,positive,,,
act,neutral,,,
acting,neutral,,,
activate,positive,,,
acts,neutral,,,
added,positive,,,
adding,positive,,,
administered,neutral,,,
administering,neutral,,,
affect,neutral,,,
aggravate,negative,,,
aid,neutral,,,
alleviate,negative,,,
allow,neutral,,,
alter,neutral,,,
altered,neutral,,,
altering,neutral,,,
ameliorate,positive,,,
amplify,positive,,,
analyze,neutral,,,
antagonize,negative,,,
appear,neutral,,,
apply,neutral,,,
arise,negative,,,
arrested,negative,,,
assess,neutral,,,
assessed,neutral,,,
associate,positive,,,
attenuate,negative,,,
attract,neutral,,,
attribute,neutral,,,
augment,negative,,,
balanced,neutral,,,
based,neutral,,,
bearing,neutral,,,
become,neutral,,,
belong,neutral,,,
bind,positive,,,
block,negative,,,
boost,positive,,,
burst,positive,,,
carried,neutral,,,
cause,positive,,,
change,neutral,,,
characterised,neutral,,,
characterize,neutral,,,
characterized,neutral,,,
characterizes,neutral,,,
chemoattracted,positive,cytokine,,
cleave,negative,,,
code,neutral,,,
coexpress,positive,cell,,
co-express,positive,cell,,
coexpressed,positive,cell,,
coexpressing,positive,cell,,
co-expressing,positive,cell,,
collaborate,neutral,,,
combined,neutral,,,
comes,neutral,,,
complement,positive,,,
conditioned,neutral,,,
conduct,positive,,,
confer,neutral,,,
confined,negative,,,
connected,neutral,,,
constituted,neutral,,,
contact,positive,,,
contain,positive,,,
continued,neutral,,,
contribute,positive,,,
control,neutral,,,
converted,neutral,,,
cooperate,neutral,,,
coordinate,neutral,,,
coproduce,positive,cell,,
correlate,neutral,,,
cosecret,positive,,,
costimulate,positive,cytokine,,
co-stimulate,positive,cytokine,,
cotrigger,positive,,,
counteract,negative,,,
counterbalanced,neutral,,,
damage,negative,,,
deactivates,negative,,,
decline,negative,,,
decrease,negative,,,
define,neutral,,,
degrade,negative,,,
delay,negative,,,
delete,negative,,,
demonstrated,neutral,,,
demonstrating,neutral,,,
depend,neutral,,,
deplete,negative,,,
depress,negative,,,
deprive,negative,,,
derive,neutral,,,
derived,neutral,,,
desensitize,negative,cytokine,,
destabilize,negative,,,
destroy,negative,,,
detached,negative,,,
detect,neutral,,,
determine,neutral,,,
determined,neutral,,,
determining,neutral,,,
develop,neutral,,,
developed,neutral,,,
developing,neutral,,,
did,neutral,,,
differ,neutral,,,
differed,neutral,,,
differentiate,positive,,,
differentiated,positive,,,
differentiating,positive,,,
diminish,negative,,,
direct,neutral,,,
directed,neutral,,,
disable,negative,,,
disappeared,negative,,,
discovered,neutral,,,
display,neutral,,,
disrupt,negative,,,
dissect,negative,,,
do,neutral,,,
donated,positive,,,
down-modulate,negative,,,
downregulate,negative,,,
down-regulate,negative,,,
draining,negative,,,
drive,positive,,,
driven,positive,,,
drove,positive,,,
dysregulate,negative,,,
effect,neutral,,,
elevate,positive,,,
elicit,positive,,,
eliminate,negative,,,
emerge,neutral,,,
enable,positive,,,
encoded,neutral,,,
encoding,neutral,,,
encounter,neutral,,,
endowed,positive,,,
engineered,neutral,,,
enhance,positive,,,
enrich,positive,,,
establish,neutral,,,
evaluate,neutral,,,
evaluated,neutral,,,
evaluating,neutral,,,
evoke,positive,,,
exacerbate,negative,,,
excise,negative,,,
exert,positive,,,
exhibit,positive,cell,,
exist,neutral,,,
expand,positive,,,
explain,neutral,,,
explained,neutral,,,
explored,neutral,,,
expose,neutral,,,
express,positive,cell,,
facilitate,positive,,,
fail,negative,,,
favor,positive,,,
favored,positive,,,
favoring,positive,,,
feed,neutral,,,
follow,neutral,,,
function,neutral,,,
generate,positive,,,
giving,neutral,,,
governing,neutral,,,
grow,positive,,,
help,neutral,,,
hinders,negative,,,
host,neutral,,,
identify,neutral,,,
immortalized,neutral,,,
immunoexpressed,positive,,,
impair,negative,,,
implicate,neutral,,,
imply,positive,,,
improve,positive,,,
inactivate,negative,,,
include,neutral,,,
included,neutral,,,
includes,neutral,,,
including,neutral,,,
increase,positive,,,
increase,positive,,,
indicate,neutral,,,
induce,positive,,,
induction,positive,,,
infiltrated,neutral,,,
infiltrating,neutral,,,
influence,neutral,,,
inhibit,negative,,,
initiate,positive,,,
intensified,positive,,,
interact,neutral,,,
interfere,negative,,,
interfering,negative,,,
invoked,positive,,,
involve,positive,,,
keep,neutral,,,
kill,negative,,,
knock,neutral,,,
known,neutral,,,
lack,negative,,,
lead,positive,,,
led,neutral,,,
limit,negative,,,
linked,neutral,,,
listed,neutral,,,
lose,negative,,,
lost,negative,,,
lower,negative,,,
lyse,negative,,,
made,neutral,,,
maintain,neutral,,,
make,neutral,,,
manage,neutral,,,
manifested,neutral,,,
mature,positive,,,
matured,positive,,,
mediate,positive,,,
migrate,positive,cell,,
mimic,neutral,,,
minimize,negative,,,
mitigate,negative,,,
mobilized,positive,,,
mobilizes,positive,,,
modify,neutral,,,
modulate,positive,,,
mount,positive,,,
neutralize,neutral,,,
normalize,neutral,,,
obstruct,negative,,,
obtain,positive,,,
occur,neutral,,,
operates,positive,,,
oppose,negative,,,
optimize,positive,,,
originate,neutral,,,
originated,neutral,,,
overexpress,positive,,,
overridden,negative,,,
participate,neutral,,,
perform,neutral,,,
performed,neutral,,,
