type,count,id,type_key,type_lbl,type_lvl
TH,1,30456753,TH,Th,2.0
TREG,4,30560927,TREG,Treg,2.0
T,1,30560927,,,
T,1,30325558,,,
TFH,1,30325558,TFH,Tfh,2.0
TH,1,30151740,TH,Th,2.0
THELPER,1,30151740,TH,Th,2.0
TREG,1,29996743,TREG,Treg,2.0
MAIT,3,29470597,MAIT,Mucosal-associated Invariant T,1.0
T,1,29470597,,,
TH17,1,28993118,TH17,Th17,1.0
TREG,1,28993118,TREG,Treg,2.0
TREG,1,29982851,TREG,Treg,2.0
TH22,1,29708439,TH22,Th22,1.0
TREG,1,30539029,TREG,Treg,2.0
TH2,1,30402504,TH2,Th2,1.0
TREG,2,30270447,TREG,Treg,2.0
TRESP,1,30270447,TRESP,Responsive T Cell,3.0
TREG,1,30180771,TREG,Treg,2.0
TH,1,30118900,TH,Th,2.0
THELPER,2,30066977,TH,Th,2.0
TH1,1,30066977,TH1,Th1,1.0
TH9,1,29927662,TH9,Th9,1.0
T,1,29791021,,,
TREG/TRESP,6,29722011,TREG,Treg,2.0
TUMOURINFILTRATING,2,30510965,,,
TH17,2,30347676,TH17,Th17,1.0
TFH,1,30347676,TFH,Tfh,2.0
TREG,1,30119214,TREG,Treg,2.0
TREG,1,30072243,TREG,Treg,2.0
TREGS/TH17,2,30067145,TREG17,Type 17 Treg,1.0
TREG,1,30067145,TREG,Treg,2.0
TH,1,30067145,TH,Th,2.0
T,1,30059947,,,
TREG,1,30059947,TREG,Treg,2.0
NK/T,1,29693696,NKT,Natural Killer T,1.0
T,1,30271793,,,
TREG,1,30271793,TREG,Treg,2.0
TREG,1,29940295,TREG,Treg,2.0
TEFF,1,30231065,TEFF,Effector,2.0
TREG,1,30231065,TREG,Treg,2.0
TREG,2,29990511,TREG,Treg,2.0
TH17,2,29682722,TH17,Th17,1.0
T,2,29415633,,,
TREG,1,29415633,TREG,Treg,2.0
TREG,2,30159338,TREG,Treg,2.0
MAIT,2,30135490,MAIT,Mucosal-associated Invariant T,1.0
T,1,30135490,,,
TREG,1,30125309,TREG,Treg,2.0
TREG,1,29956798,TREG,Treg,2.0
TH,1,29908492,TH,Th,2.0
T,1,29870918,,,
TFR,1,29870918,TFREG,Follicular Treg,1.0
TFH,1,29870918,TFH,Tfh,2.0
T,1,29851536,,,
TREG,1,29851536,TREG,Treg,2.0
TAXCTL,1,29845702,,,
TREG/TH17,1,29803792,TREG17,Type 17 Treg,1.0
TREG,1,29697291,TREG,Treg,2.0
TREG,1,30146748,TREG,Treg,2.0
TF,1,30135219,,,
T,1,30127439,,,
TREG,2,30103447,TREG,Treg,2.0
T,1,30089837,,,
TREG,1,30089837,TREG,Treg,2.0
TREG,1,29778842,TREG,Treg,2.0
TH1,1,30011861,TH1,Th1,1.0
MAIT,2,29743612,MAIT,Mucosal-associated Invariant T,1.0
T,1,29743612,,,
THELPER,1,29710675,TH,Th,2.0
TH17,1,29697763,TH17,Th17,1.0
TREG,2,30057919,TREG,Treg,2.0
T,1,30057919,,,
TREG,1,30005684,TREG,Treg,2.0
TREG,1,29936792,TREG,Treg,2.0
TTPOVEREXPRESSED,1,29936792,,,
TGFΒ,1,29802426,,,
TFH,1,29793949,TFH,Tfh,2.0
TREG,1,29790701,TREG,Treg,2.0
TSCM,2,29790621,TSCM,Stem Memory,1.0
TR1,1,29729899,TREG1,Type 1 Treg,1.0
TH,2,29728642,TH,Th,2.0
TREG,1,29709770,TREG,Treg,2.0
T,1,29688330,,,
INKT,1,29688330,NKT,Natural Killer T,1.0
TFH,1,29672235,TFH,Tfh,2.0
TREG,1,29671006,TREG,Treg,2.0
T,1,29582333,,,
MAIT,1,29582333,MAIT,Mucosal-associated Invariant T,1.0
T,1,29467445,,,
TREG,1,29467445,TREG,Treg,2.0
T,1,28954601,,,
TREG,1,28954601,TREG,Treg,2.0
T,1,29883464,,,
TGFΒ1,1,29883464,,,
MAIT,2,29858567,MAIT,Mucosal-associated Invariant T,1.0
T,1,29858567,,,
T,1,29743369,,,
TFR,1,29683413,TFREG,Follicular Treg,1.0
TFH,1,29683413,TFH,Tfh,2.0
TREG,1,29626493,TREG,Treg,2.0
TRM,2,29500823,TRM,Tissue Resident Memory,1.0
T,1,29500823,,,
T,1,29283462,,,
