actor,category,cell_id,cell_label,cytokine_id,cytokine_label,num_papers,score
cell,Positive,CL_0000084,T cell,CID_83,IFNG,809,4.28
cell,Positive,CL_0000084,T cell,CID_110,IL2,701,5.3
cell,Positive,CL_0000625,"CD8-positive, alpha-beta T cell",CID_83,IFNG,338,8.88
cytokine,Positive,CL_0000084,T cell,CID_110,IL2,313,1.58
cytokine,Unknown,CL_0000084,T cell,CID_110,IL2,260,4.52
cell,Positive,CL_0000624,"CD4-positive, alpha-beta T cell",CID_83,IFNG,236,5.41
cytokine,Unknown,CL_0000084,T cell,CID_83,IFNG,197,2.36
cell,Positive,CL_0000084,T cell,CID_131,IL4,153,2.58
cell,Positive,CL_0000084,T cell,CID_93,IL10,149,2.02
cell,Positive,CL_0000624,"CD4-positive, alpha-beta T cell",CID_110,IL2,113,3.63
cytokine,Positive,CL_0000084,T cell,CID_83,IFNG,112,0.38
cell,Positive,CL_0000084,T cell,CID_174,TNF,110,0.84
cell,Positive,CL_0000084,T cell,CID_102,IL17,96,4.59
cell,Positive,CL_0000545,T-helper 1 cell,CID_83,IFNG,88,5.01
cytokine,Unknown,CL_0000625,"CD8-positive, alpha-beta T cell",CID_83,IFNG,83,5.06
cell,Positive,CL_0000084,T cell,CID_8,CD40LG,70,3.3
cytokine,Positive,CL_0000084,T cell,CID_95,IL12,69,1.35
cell,Positive,CL_0000624,"CD4-positive, alpha-beta T cell",CID_131,IL4,66,4.72
cell,Positive,CL_0000084,T cell,CID_95,IL12,62,1.83
cell,Positive,CL_0000624,"CD4-positive, alpha-beta T cell",CID_93,IL10,62,3.76
cytokine,Positive,CL_0000084,T cell,CID_93,IL10,61,0.56
cytokine,Positive,CL_0000792,"CD4-positive, CD25-positive, alpha-beta regulatory T cell",CID_110,IL2,60,3.12
cell,Positive,CL_0000546,T-helper 2 cell,CID_131,IL4,59,15.88
cytokine,Positive,CL_0000084,T cell,CID_134,IL7,58,2.05
cytokine,Negative,CL_0000084,T cell,CID_110,IL2,58,2.26
cell,Positive,CL_0000625,"CD8-positive, alpha-beta T cell",CID_110,IL2,57,2.12
cell,Positive,CL_0000792,"CD4-positive, CD25-positive, alpha-beta regulatory T cell",CID_93,IL10,57,7.93
cytokine,Positive,CL_0000545,T-helper 1 cell,CID_95,IL12,56,11.77
cell,Positive,CL_0000792,"CD4-positive, CD25-positive, alpha-beta regulatory T cell",CID_110,IL2,54,3.92
cell,Positive,CL_0000899,T-helper 17 cell,CID_102,IL17,53,55.2
cytokine,Unknown,CL_0000084,T cell,CID_134,IL7,52,6.36
cytokine,Unknown,CL_0000084,T cell,CID_93,IL10,51,1.69
cell,Positive,CL_0000084,T cell,CID_162,TGFB,50,0.78
cell,Positive,CL_0000624,"CD4-positive, alpha-beta T cell",CID_102,IL17,50,9.71
cell,Positive,CL_0000084,T cell,CID_133,IL6,49,0.67
cytokine,Negative,CL_0000084,T cell,CID_93,IL10,49,3.63
cell,Positive,CL_0000084,T cell,CID_132,IL5,48,2.53
cytokine,Positive,CL_0000084,T cell,CID_174,TNF,47,0.24
cytokine,Positive,CL_0000084,T cell,CID_131,IL4,44,0.49
cytokine,Unknown,CL_0000084,T cell,CID_162,TGFB,42,1.58
cytokine,Unknown,CL_0000084,T cell,CID_174,TNF,42,0.74
cytokine,Positive,CL_0000624,"CD4-positive, alpha-beta T cell",CID_110,IL2,41,0.9
cytokine,Unknown,CL_0000084,T cell,CID_131,IL4,41,1.54
cytokine,Positive,CL_0000625,"CD8-positive, alpha-beta T cell",CID_110,IL2,39,0.99
cell,Positive,CL_0000893,thymocyte,CID_87,IL1,39,22.38
cell,Positive,CL_0000084,T cell,CID_134,IL7,39,1.94
cytokine,Positive,CL_0000625,"CD8-positive, alpha-beta T cell",CID_83,IFNG,39,0.67
cell,Positive,CL_0000893,thymocyte,CID_110,IL2,38,6.6
cytokine,Unknown,CL_0000084,T cell,CID_95,IL12,38,2.46
cytokine,Negative,CL_0000084,T cell,CID_83,IFNG,37,1
cytokine,Unknown,CL_0000624,"CD4-positive, alpha-beta T cell",CID_83,IFNG,35,1.82
cytokine,Positive,CL_0000084,T cell,CID_100,IL15,34,1.6
cell,Positive,CL_0000084,T cell,CID_87,IL1,34,0.88
cell,Positive,CL_0000084,T cell,CID_100,IL15,34,2.17
cytokine,Unknown,CL_0000792,"CD4-positive, CD25-positive, alpha-beta regulatory T cell",CID_110,IL2,34,5.54
cell,Positive,CL_0000084,T cell,CID_63,CSF2,33,0.87
cytokine,Unknown,CL_0000624,"CD4-positive, alpha-beta T cell",CID_110,IL2,32,2.4
cell,Positive,CL_0000792,"CD4-positive, CD25-positive, alpha-beta regulatory T cell",CID_83,IFNG,32,1.52
cytokine,Positive,CL_0000546,T-helper 2 cell,CID_131,IL4,31,5.47
cell,Positive,CL_0000084,T cell,CID_173,TNFSF9,30,4.47
cell,Positive,CL_0000792,"CD4-positive, CD25-positive, alpha-beta regulatory T cell",CID_162,TGFB,30,4.14
cytokine,Positive,CL_0000084,T cell,CID_87,IL1,30,0.48
cytokine,Positive,CL_0000084,T cell,CID_63,CSF2,29,0.45
cytokine,Unknown,CL_0000546,T-helper 2 cell,CID_131,IL4,28,17.28
cytokine,Unknown,CL_0000545,T-helper 1 cell,CID_95,IL12,28,20.24
cytokine,Unknown,CL_0000545,T-helper 1 cell,CID_83,IFNG,28,3.69
cytokine,Positive,CL_0000084,T cell,CID_162,TGFB,28,0.28
cytokine,Positive,CL_0000084,T cell,CID_8,CD40LG,27,0.83
cytokine,Positive,CL_0000084,T cell,CID_133,IL6,27,0.25
cell,Positive,CL_0000084,T cell,CID_67,IFNA,26,0.95
cell,Positive,CL_0000084,T cell,CID_163,TGFB1,26,0.55
cell,Positive,CL_0000624,"CD4-positive, alpha-beta T cell",CID_174,TNF,26,0.81
cytokine,Positive,CL_0000624,"CD4-positive, alpha-beta T cell",CID_83,IFNG,26,0.39
cytokine,Negative,CL_0000084,T cell,CID_162,TGFB,26,2.11
cytokine,Positive,CL_0000625,"CD8-positive, alpha-beta T cell",CID_100,IL15,25,5.72
cell,Positive,CL_0000624,"CD4-positive, alpha-beta T cell",CID_8,CD40LG,24,4.96
