sym,lbl,spid,src,extid,id,prefid
DETC,DETC,1,manual,,CT231343DE336492F1,CT231343DE336492F1
DETCs,DETC,1,manual,,CT4CF1E0FFE26A395F,CT231343DE336492F1
Dendritic-epidermal-T,DETC,1,manual,,CTAD8B4B3EE6ECB6BB,CT231343DE336492F1
Dendritic epidermal T,DETC,1,manual,,CT728A6AA916C71387,CT231343DE336492F1
DendriticepidermalT,DETC,1,manual,,CTE89D7A3B2E8FAACE,CT231343DE336492F1
IEL,IEL,1,manual,,CT22416FE03B9D6C99,CT22416FE03B9D6C99
IELs,IEL,1,manual,,CTB660BADB779FAA4E,CT22416FE03B9D6C99
Intraepithelial-lymphocyte,IEL,1,manual,,CT54F82A76F87DFC87,CT22416FE03B9D6C99
Intraepithelial lymphocyte,IEL,1,manual,,CT77F7FFA741C8DF8A,CT22416FE03B9D6C99
Intraepitheliallymphocyte,IEL,1,manual,,CT2F2F6025243D7121,CT22416FE03B9D6C99
Intraepithelial-lymphocytes,IEL,1,manual,,CTF16ED9438519075A,CT22416FE03B9D6C99
Intraepithelial lymphocytes,IEL,1,manual,,CT23E00A845598CE1F,CT22416FE03B9D6C99
Intraepitheliallymphocytes,IEL,1,manual,,CTED5D6C1739EF8A88,CT22416FE03B9D6C99
MAIT,MAIT,1,manual,,CT2AA8AAF80CE1BE08,CT2AA8AAF80CE1BE08
Mucosal-associated invariant T,MAIT,1,manual,,CTD12D51A41E809C0C,CT2AA8AAF80CE1BE08
Mucosal associated invariant T,MAIT,1,manual,,CTAC471C4A7FB31498,CT2AA8AAF80CE1BE08
Mucosalassociated invariant T,MAIT,1,manual,,CT10B88BB7011C6F99,CT2AA8AAF80CE1BE08
NKT,NKT,1,manual,,CT459998F048BE65F2,CT459998F048BE65F2
natural-killer-T,NKT,1,manual,,CTFB62F1EFED214EE3,CT459998F048BE65F2
natural killer T,NKT,1,manual,,CT2118B36741C59AAB,CT459998F048BE65F2
naturalkillerT,NKT,1,manual,,CT7E21E45C95322C9C,CT459998F048BE65F2
T-natural-killer,NKT,1,manual,,CT5DC7108BBF643C36,CT459998F048BE65F2
T natural killer,NKT,1,manual,,CTCFD6F9F91FA5944C,CT459998F048BE65F2
Tnaturalkiller,NKT,1,manual,,CT33429842ED308775,CT459998F048BE65F2
INKT,NKT,1,manual,,CT47667978DACC1BA7,CT459998F048BE65F2
TRNKT,NKT,1,manual,,CTAB99EA6A1C47FED8,CT459998F048BE65F2
CNKT,NKT,1,manual,,CT56A2C76DD4C4EFFF,CT459998F048BE65F2
NK/T,NKT,1,manual,,CTA966200FE50A5651,CT459998F048BE65F2
TCM,TCM,1,manual,,CT143F3E7366C9650A,CT143F3E7366C9650A
T-cm,TCM,1,manual,,CT8E0D510370249D47,CT143F3E7366C9650A
T cm,TCM,1,manual,,CT95A7A330466BCA90,CT143F3E7366C9650A
Tcm,TCM,1,manual,,CT6DE81C14BBB65271,CT143F3E7366C9650A
cm-T,TCM,1,manual,,CTC0C807599F3B94F7,CT143F3E7366C9650A
cm T,TCM,1,manual,,CT28202D51D84599D7,CT143F3E7366C9650A
cmT,TCM,1,manual,,CTB65615656106D4F7,CT143F3E7366C9650A
central-memory-T,TCM,1,manual,,CT106486D2AB40E47B,CT143F3E7366C9650A
central memory T,TCM,1,manual,,CT9451DD832BC8E51E,CT143F3E7366C9650A
centralmemoryT,TCM,1,manual,,CTED155CFF5B500AC5,CT143F3E7366C9650A
TEFF,TEFF,1,manual,,CTDD003CDBE64E4F0A,CTDD003CDBE64E4F0A
T-eff,TEFF,1,manual,,CT060A3671F635A37F,CTDD003CDBE64E4F0A
T eff,TEFF,1,manual,,CT475D805CAE445A7E,CTDD003CDBE64E4F0A
Teff,TEFF,1,manual,,CT82FFF161CA0ADDD9,CTDD003CDBE64E4F0A
T-effector,TEFF,1,manual,,CT3EEC9FAFF4C737B4,CTDD003CDBE64E4F0A
T effector,TEFF,1,manual,,CTCA0032ED8C1111BC,CTDD003CDBE64E4F0A
Teffector,TEFF,1,manual,,CT349D137313119F83,CTDD003CDBE64E4F0A
eff-T,TEFF,1,manual,,CTD19AC6BD8E7713C6,CTDD003CDBE64E4F0A
eff T,TEFF,1,manual,,CT5D362E27F7F834B9,CTDD003CDBE64E4F0A
effT,TEFF,1,manual,,CT95553BC8409D7A80,CTDD003CDBE64E4F0A
effector-T,TEFF,1,manual,,CTCA50CBE9FA91F02D,CTDD003CDBE64E4F0A
effector T,TEFF,1,manual,,CT9B579511AB005BA2,CTDD003CDBE64E4F0A
effectorT,TEFF,1,manual,,CTBCE3349A057761BE,CTDD003CDBE64E4F0A
TEM,TEM,1,manual,,CTC594335ADD6A1D77,CTC594335ADD6A1D77
T-em,TEM,1,manual,,CT4D59D3BE2C5C58CD,CTC594335ADD6A1D77
T em,TEM,1,manual,,CTA392D79C533555D4,CTC594335ADD6A1D77
Tem,TEM,1,manual,,CT1EB679429229B3CE,CTC594335ADD6A1D77
em-T,TEM,1,manual,,CT2F706AD1830E18AF,CTC594335ADD6A1D77
em T,TEM,1,manual,,CT8644C92989F443C2,CTC594335ADD6A1D77
emT,TEM,1,manual,,CTB783F97BB8260EB8,CTC594335ADD6A1D77
effector-memory-T,TEM,1,manual,,CTE491F3B2896DBE65,CTC594335ADD6A1D77
effector memory T,TEM,1,manual,,CT52B19DA73925C79D,CTC594335ADD6A1D77
effectormemoryT,TEM,1,manual,,CTE681861357A9FA39,CTC594335ADD6A1D77
TEMRA,TEMRA,1,manual,,CTF0E55D1135013203,CTF0E55D1135013203
T-emra,TEMRA,1,manual,,CT75029589FA9FEFDC,CTF0E55D1135013203
T emra,TEMRA,1,manual,,CT9CE540B6C1FBA0DE,CTF0E55D1135013203
Temra,TEMRA,1,manual,,CT1F15EA6A8CA41BF6,CTF0E55D1135013203
emra-T,TEMRA,1,manual,,CTDD3163ACF127D081,CTF0E55D1135013203
emra T,TEMRA,1,manual,,CTE6DB7B4442816CA5,CTF0E55D1135013203
emraT,TEMRA,1,manual,,CT7C2693DCF4506526,CTF0E55D1135013203
TMEM,TMEM,1,manual,,CT1C58993C5B5BD3B8,CT1C58993C5B5BD3B8
T-mem,TMEM,1,manual,,CT39C539BBA52DF419,CT1C58993C5B5BD3B8
T mem,TMEM,1,manual,,CT4AF44DEDE9E4AC4D,CT1C58993C5B5BD3B8
Tmem,TMEM,1,manual,,CT7D4C64939FB84ED4,CT1C58993C5B5BD3B8
memory-T,TMEM,1,manual,,CTA88DD6188569D63E,CT1C58993C5B5BD3B8
memory T,TMEM,1,manual,,CTA24AFB5E1D6F58C6,CT1C58993C5B5BD3B8
memoryT,TMEM,1,manual,,CT1AF28D900F851FD5,CT1C58993C5B5BD3B8
mem-T,TMEM,1,manual,,CT5B76205E4AAFF2EA,CT1C58993C5B5BD3B8
mem T,TMEM,1,manual,,CT66312315DDD1E141,CT1C58993C5B5BD3B8
memT,TMEM,1,manual,,CTBD4BA661524FB1F2,CT1C58993C5B5BD3B8
