id,start,end,value,class,value_norm,value_lbl,value_sym
30456753,103,110,FcGRIIb,protein,FCGRIIB,FCGRIIB,
30456753,449,456,FcGRIIb,protein,FCGRIIB,FCGRIIB,
30456753,599,607,FcGRIIb-,protein,FCGRIIB,FCGRIIB,
30456753,905,913,FcGRIIb-,protein,FCGRIIB,FCGRIIB,
30560927,0,13,Interleukin 2,protein,IL2,IL2,
30560927,79,84,Foxp3,protein,FOXP3,FOXP3,
30560927,86,89,CD4,protein,CD4,CD4,CD4
30560927,254,259,Foxp3,protein,FOXP3,FOXP3,
30560927,264,268,IL-2,protein,IL2,IL2,
30560927,421,436,T cell receptor,protein,TCR,TCR,
30560927,438,441,TCR,protein,TCR,TCR,
30560927,486,491,Foxp3,protein,FOXP3,FOXP3,
30560927,516,519,TCR,protein,TCR,TCR,
30560927,647,651,IL-2,protein,IL2,IL2,
30560927,676,680,IL-2,protein,IL2,IL2,
30560927,729,734,SATB1,protein,SATB1,SATB1,
30560927,738,741,CD4,protein,CD4,CD4,CD4
30560927,884,888,IL-2,protein,IL2,IL2,
30325558,78,82,CD14,protein,CD14,CD14,CD14
30325558,85,108,human leukocyte antigen,protein,HLA,HLA,
30325558,359,377,programmed death 1,protein,PROGRAMMEDDEATH1,PROGRAMMEDDEATH1,
30325558,379,383,PD-1,protein,PD1,CD279,PDCD1
30325558,512,516,PD-1,protein,PD1,CD279,PDCD1
30325558,754,765,interleukin,protein,IL,IL,
30325558,767,773,IL)-21,protein,IL21,IL21,
30325558,907,912,IL-21,protein,IL21,IL21,
30325558,1022,1026,PD-1,protein,PD1,CD279,PDCD1
30325558,1029,1034,-Tfh2,protein,TFH2,TFH2,
30325558,1039,1043,PD-1,protein,PD1,CD279,PDCD1
30325558,1046,1052,-Tfh17,protein,TFH17,TFH17,
30325558,1179,1183,CD14,protein,CD14,CD14,CD14
30325558,1186,1209,human leukocyte antigen,protein,HLA,HLA,
30325558,1257,1261,Tfh1,protein,TFH1,TFH1,
30151740,76,80,CD57,protein,CD57,CD57,B3GAT1
30151740,107,110,CD4,protein,CD4,CD4,CD4
30151740,218,222,CD57,protein,CD57,CD57,B3GAT1
30151740,366,370,CD57,protein,CD57,CD57,B3GAT1
30151740,1002,1017,T cell receptor,protein,TCR,TCR,
30151740,1077,1081,CD57,protein,CD57,CD57,B3GAT1
30151740,187,191,LGLs,protein,LGLS,LGLS,
30151740,196,200,CD57,protein,CD57,CD57,B3GAT1
30151740,1330,1334,CD57,protein,CD57,CD57,B3GAT1
30151740,1339,1343,LGLs,protein,LGLS,LGLS,
29996743,23,27,CD20,protein,CD20,CD20,MS4A1
29996743,279,283,CD20,protein,CD20,CD20,MS4A1
29470597,213,234,MHC-related protein 1,protein,MHCI,MHCI,
29470597,594,600,IL-17A,protein,IL17A,IL17A,
29470597,878,883,NKG2D,protein,NKG2D,CD314,KLRK1
29470597,888,893,IFN-γ,protein,IFNγ,IFNγ,
28993118,224,227,CD4,protein,CD4,CD4,CD4
28993118,229,233,CD25,protein,CD25,CD25,
28993118,235,240,Foxp3,protein,FOXP3,FOXP3,
29982851,538,543,aPRCA,protein,APRCA,APRCA,
29982851,1012,1024,transaminase,protein,TRANSAMINASE,TRANSAMINASE,
29982851,1270,1275,aPRCA,protein,APRCA,APRCA,
29982851,1394,1404,hemoglobin,protein,HEMOGLOBIN,HEMOGLOBIN,
29982851,1516,1521,aPRCA,protein,APRCA,APRCA,
29708439,97,100,IgA,protein,IgA,IgA,
29708439,140,143,IgA,protein,IgA,IgA,
29708439,359,362,IgA,protein,IgA,IgA,
29708439,502,505,IgA,protein,IgA,IgA,
29708439,577,580,IgA,protein,IgA,IgA,
29708439,848,853,CCL20,protein,CCL20,CCL20,
29708439,855,860,CCL22,protein,CCL22,CCL22,
29708439,865,870,CCL27,protein,CCL27,CCL27,
29708439,971,975,IL-1,protein,IL1,IL1,
29708439,977,981,IL-6,protein,IL6,IL6,
29708439,983,988,TNF-α,protein,TNFα,TNFα,
