category,extid,label,namespace,parent,priority,species,species_id,syn,syn_typ,pref_lbl,pref_id,enabled
organism-gene,PR:P64554,7-carboxy-7-deazaguanine synthase (Escherichia coli K-12),protein,PR:000034945,2.0,any,3.0,ygcF,related,ygcF,PR:P64554,True
organism-gene,PR:Q46893,2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase (Escherichia coli K-12),protein,PR:000023036,2.0,any,3.0,ygbP,related,ygbP,PR:Q46893,True
gene,PR:000033765,uncharacterized protein YddB,protein,,4.0,any,3.0,yddB,exact,CDS103,PR:000033765,True
gene,PR:000035174,inner membrane ABC transporter ATP-binding protein YddA,protein,,4.0,any,3.0,yddA,exact,CDS102,PR:000035174,True
gene,PR:000005436,charged multivesicular body protein 4a,protein,,4.0,any,3.0,vps32-1,exact,Snf-1,PR:000005436,True
gene,PR:000002112,vascular endothelial growth factor receptor 2,protein,,5.0,any,3.0,vascular endothelial growth factor receptor 2,label,CD309,PR:000002112,True
gene,PR:000001970,vascular cell adhesion protein 1,protein,,5.0,any,3.0,vascular cell adhesion protein 1,label,CD106,PR:000001970,True
gene,PR:000001447,cadherin-1,protein,,4.0,any,3.0,uvomorulin,exact,CDHE,PR:000001447,True
gene,PR:000001969,urokinase plasminogen activator surface receptor,protein,,5.0,any,3.0,urokinase plasminogen activator surface receptor,label,CD87,PR:000001969,True
organism-gene,PR:Q92614,unconventional myosin-XVIIIa (human),protein,PR:000010852,5.0,human,2.0,unconventional myosin-XVIIIa,label,CD245,PR:Q92614,True
organism-gene,PR:P31827,uncharacterized protein YddB (Escherichia coli K-12),protein,PR:000033765,5.0,any,3.0,uncharacterized protein YddB (Escherichia coli K-12),label,b1495,PR:P31827,True
gene,PR:000033765,uncharacterized protein YddB,protein,,5.0,any,3.0,uncharacterized protein YddB,label,CDS103,PR:000033765,True
gene,PR:000016986,ubiquitin-conjugating enzyme E2 R2,protein,,5.0,any,3.0,ubiquitin-conjugating enzyme E2 R2,label,CDC34B,PR:000016986,True
gene,PR:000005200,ubiquitin-conjugating enzyme E2 R1,protein,,5.0,any,3.0,ubiquitin-conjugating enzyme E2 R1,label,CDC34,PR:000005200,True
gene,PR:000001969,urokinase plasminogen activator surface receptor,protein,,4.0,any,3.0,uPAR,exact,CD87,PR:000001969,True
gene,PR:000005218,cell division cycle 7-related protein kinase,protein,,4.0,any,3.0,uCdc7,exact,CDC7,PR:000005218,True
modification,PR:000002147,CD14 molecule isoform 1 cleaved 2 soluble form,protein,,1.0,any,3.0,uCD14,broad,uCD14,PR:000002147,True
gene,PR:000001968,tyrosine-protein phosphatase non-receptor type substrate 1,protein,,5.0,any,3.0,tyrosine-protein phosphatase non-receptor type substrate 1,label,CD172a,PR:000001968,True
modification,PR:000027625,tyrosine-protein phosphatase Clp1 unmodified form,protein,PR:000027623,5.0,any,3.0,tyrosine-protein phosphatase Clp1 unmodified form,label,tyrosine-protein phosphatase Clp1 unmodified form,PR:000027625,True
modification,PR:000027627,tyrosine-protein phosphatase Clp1 phosphorylated form,protein,PR:000027623,5.0,any,3.0,tyrosine-protein phosphatase Clp1 phosphorylated form,label,tyrosine-protein phosphatase Clp1 phosphorylated form,PR:000027627,True
modification,PR:000027628,tyrosine-protein phosphatase Clp1 phosphorylated 1,protein,,5.0,any,3.0,tyrosine-protein phosphatase Clp1 phosphorylated 1,label,tyrosine-protein phosphatase Clp1 phosphorylated 1,PR:000027628,True
organism-gene,PR:Q9P7H1,tyrosine-protein phosphatase Clp1 (Schizosaccharomyces pombe 972h-),protein,,5.0,any,3.0,tyrosine-protein phosphatase Clp1 (Schizosaccharomyces pombe 972h-),label,flp1,PR:Q9P7H1,True
gene,PR:000027623,tyrosine-protein phosphatase Clp1,protein,,5.0,any,3.0,tyrosine-protein phosphatase Clp1,label,CDC14,PR:000027623,True
gene,PR:000001955,tumor necrosis factor receptor superfamily member 12A,protein,,4.0,any,3.0,tweak-receptor,exact,CD266,PR:000001955,True
sequence,PR:000029146,tumor suppressor ARF,protein,PR:000029097,5.0,any,3.0,tumor suppressor ARF,label,tumor suppressor ARF,PR:000029146,True
sequence,PR:000035647,tumor necrosis factor receptor superfamily member 9 isoform 2,protein,PR:000001965,5.0,any,3.0,tumor necrosis factor receptor superfamily member 9 isoform 2,label,tumor necrosis factor receptor superfamily member 9 isoform 2,PR:000035647,True
gene,PR:000001965,tumor necrosis factor receptor superfamily member 9,protein,,5.0,any,3.0,tumor necrosis factor receptor superfamily member 9,label,CD137,PR:000001965,True
gene,PR:000001964,tumor necrosis factor receptor superfamily member 8,protein,,5.0,any,3.0,tumor necrosis factor receptor superfamily member 8,label,CD30,PR:000001964,True
gene,PR:000001962,tumor necrosis factor receptor superfamily member 6,protein,,5.0,any,3.0,tumor necrosis factor receptor superfamily member 6,label,CD95,PR:000001962,True
modification,PR:000018618,"tumor necrosis factor receptor superfamily member 5, signal peptide removed form",protein,PR:000001961,5.0,any,3.0,"tumor necrosis factor receptor superfamily member 5, signal peptide removed form",label,"tumor necrosis factor receptor superfamily member 5, signal peptide removed form",PR:000018618,True
modification,PR:000026930,"tumor necrosis factor receptor superfamily member 5 isoform 1, signal peptide removed form",protein,,5.0,any,3.0,"tumor necrosis factor receptor superfamily member 5 isoform 1, signal peptide removed form",label,"tumor necrosis factor receptor superfamily member 5 isoform 1, signal peptide removed form",PR:000026930,True
sequence,PR:000026928,tumor necrosis factor receptor superfamily member 5 isoform 1,protein,PR:000001961,5.0,any,3.0,tumor necrosis factor receptor superfamily member 5 isoform 1,label,tumor necrosis factor receptor superfamily member 5 isoform 1,PR:000026928,True
gene,PR:000001961,tumor necrosis factor receptor superfamily member 5,protein,,5.0,any,3.0,tumor necrosis factor receptor superfamily member 5,label,CD40,PR:000001961,True
gene,PR:000001960,tumor necrosis factor receptor superfamily member 4,protein,,5.0,any,3.0,tumor necrosis factor receptor superfamily member 4,label,CD134,PR:000001960,True
gene,PR:000016484,tumor necrosis factor receptor superfamily member 21,protein,,5.0,any,3.0,tumor necrosis factor receptor superfamily member 21,label,CD358,PR:000016484,True
gene,PR:000001959,tumor necrosis factor receptor superfamily member 1B,protein,,5.0,any,3.0,tumor necrosis factor receptor superfamily member 1B,label,CD120b,PR:000001959,True
gene,PR:000001958,tumor necrosis factor receptor superfamily member 1A,protein,,5.0,any,3.0,tumor necrosis factor receptor superfamily member 1A,label,CD120a,PR:000001958,True
gene,PR:000016482,tumor necrosis factor receptor superfamily member 18,protein,,5.0,any,3.0,tumor necrosis factor receptor superfamily member 18,label,CD357,PR:000016482,True
gene,PR:000001406,tumor necrosis factor receptor superfamily member 17,protein,,5.0,any,3.0,tumor necrosis factor receptor superfamily member 17,label,CD269,PR:000001406,True
gene,PR:000001405,tumor necrosis factor receptor superfamily member 16,protein,,5.0,any,3.0,tumor necrosis factor receptor superfamily member 16,label,CD271,PR:000001405,True
gene,PR:000016481,tumor necrosis factor receptor superfamily member 14,protein,,5.0,any,3.0,tumor necrosis factor receptor superfamily member 14,label,CD270,PR:000016481,True
gene,PR:000001957,tumor necrosis factor receptor superfamily member 13C,protein,,5.0,any,3.0,tumor necrosis factor receptor superfamily member 13C,label,CD268,PR:000001957,True
gene,PR:000001956,tumor necrosis factor receptor superfamily member 13B,protein,,5.0,any,3.0,tumor necrosis factor receptor superfamily member 13B,label,CD267,PR:000001956,True
gene,PR:000001955,tumor necrosis factor receptor superfamily member 12A,protein,,5.0,any,3.0,tumor necrosis factor receptor superfamily member 12A,label,CD266,PR:000001955,True
gene,PR:000001954,tumor necrosis factor receptor superfamily member 11A,protein,,5.0,any,3.0,tumor necrosis factor receptor superfamily member 11A,label,CD265,PR:000001954,True
gene,PR:000001953,tumor necrosis factor receptor superfamily member 10D,protein,,5.0,any,3.0,tumor necrosis factor receptor superfamily member 10D,label,CD264,PR:000001953,True
gene,PR:000001952,tumor necrosis factor receptor superfamily member 10C,protein,,5.0,any,3.0,tumor necrosis factor receptor superfamily member 10C,label,CD263,PR:000001952,True
gene,PR:000002109,tumor necrosis factor receptor superfamily member 10B,protein,,5.0,any,3.0,tumor necrosis factor receptor superfamily member 10B,label,CD262,PR:000002109,True
gene,PR:000002108,tumor necrosis factor receptor superfamily member 10A,protein,,5.0,any,3.0,tumor necrosis factor receptor superfamily member 10A,label,CD261,PR:000002108,True
gene,PR:000001404,tumor necrosis factor ligand superfamily member 8,protein,,5.0,any,3.0,tumor necrosis factor ligand superfamily member 8,label,CD30L,PR:000001404,True
gene,PR:000000095,tumor necrosis factor ligand superfamily member 6,protein,,5.0,any,3.0,tumor necrosis factor ligand superfamily member 6,label,CD95L,PR:000000095,True
modification,PR:000018606,tumor necrosis factor ligand superfamily member 5 proteolytic cleavage product,protein,PR:000001950,5.0,any,3.0,tumor necrosis factor ligand superfamily member 5 proteolytic cleavage product,label,tumor necrosis factor ligand superfamily member 5 proteolytic cleavage product,PR:000018606,True
gene,PR:000001950,tumor necrosis factor ligand superfamily member 5,protein,,5.0,any,3.0,tumor necrosis factor ligand superfamily member 5,label,CD40L,PR:000001950,True
gene,PR:000001949,tumor necrosis factor ligand superfamily member 4,protein,,5.0,any,3.0,tumor necrosis factor ligand superfamily member 4,label,CD252,PR:000001949,True
gene,PR:000002222,tumor necrosis factor ligand superfamily member 14,protein,,5.0,any,3.0,tumor necrosis factor ligand superfamily member 14,label,CD258,PR:000002222,True
gene,PR:000001948,tumor necrosis factor ligand superfamily member 13B,protein,,5.0,any,3.0,tumor necrosis factor ligand superfamily member 13B,label,CD257,PR:000001948,True
gene,PR:000001947,tumor necrosis factor ligand superfamily member 13,protein,,5.0,any,3.0,tumor necrosis factor ligand superfamily member 13,label,CD256,PR:000001947,True
gene,PR:000002107,tumor necrosis factor ligand superfamily member 11,protein,,5.0,any,3.0,tumor necrosis factor ligand superfamily member 11,label,CD254,PR:000002107,True
gene,PR:000002106,tumor necrosis factor ligand superfamily member 10,protein,,5.0,any,3.0,tumor necrosis factor ligand superfamily member 10,label,CD253,PR:000002106,True
gene,PR:000016753,tetraspanin-7,protein,,4.0,any,3.0,tspan-7,exact,CD231,PR:000016753,True
gene,PR:000005175,CD63 molecule,protein,,4.0,any,3.0,tspan-30,exact,CD63,PR:000005175,True
gene,PR:000005178,CD9 molecule,protein,,4.0,any,3.0,tspan-29,exact,CD9,PR:000005178,True
gene,PR:000005176,CD81 molecule,protein,,4.0,any,3.0,tspan-28,exact,CD81,PR:000005176,True
gene,PR:000005177,CD82 molecule,protein,,4.0,any,3.0,tspan-27,exact,CD82,PR:000005177,True
gene,PR:000005170,CD37 molecule,protein,,4.0,any,3.0,tspan-26,exact,CD37,PR:000005170,True
gene,PR:000005172,CD53 molecule,protein,,4.0,any,3.0,tspan-25,exact,CD53,PR:000005172,True
gene,PR:000005158,CD151 molecule,protein,,4.0,any,3.0,tspan-24,exact,CD151,PR:000005158,True
gene,PR:000016625,triggering receptor expressed on myeloid cells 1,protein,,5.0,any,3.0,triggering receptor expressed on myeloid cells 1,label,CD354,PR:000016625,True
gene,PR:000031880,transmembrane protein PVRIG,protein,,5.0,any,3.0,transmembrane protein PVRIG,label,PVRIG,PR:000031880,True
gene,PR:000031565,transmembrane and immunoglobulin domain-containing protein 2,protein,,5.0,any,3.0,transmembrane and immunoglobulin domain-containing protein 2,label,IGPR1,PR:000031565,True
gene,PR:000016040,transgelin-2,protein,,5.0,any,3.0,transgelin-2,label,TAGLN2,PR:000016040,True
gene,PR:000001945,transferrin receptor protein 1,protein,,5.0,any,3.0,transferrin receptor protein 1,label,CD71,PR:000001945,True
gene,PR:000016614,trafficking protein particle complex subunit 3,protein,,5.0,any,3.0,trafficking protein particle complex subunit 3,label,BET3,PR:000016614,True
gene,PR:000001940,tissue factor,protein,,5.0,any,3.0,tissue factor,label,CD142,PR:000001940,True
organism-gene,PR:P12461,thymidylate synthase (Candida albicans SC5314),protein,,5.0,any,3.0,thymidylate synthase (Candida albicans SC5314),label,CDC21,PR:P12461,True
gene,PR:000006725,thymidylate kinase,protein,,5.0,any,3.0,thymidylate kinase,label,CDC8,PR:000006725,True
gene,PR:000001939,thrombopoietin receptor,protein,,5.0,any,3.0,thrombopoietin receptor,label,CD110,PR:000001939,True
gene,PR:000001940,tissue factor,protein,,4.0,any,3.0,thromboplastin,exact,CD142,PR:000001940,True
gene,PR:000002105,thrombomodulin,protein,,5.0,any,3.0,thrombomodulin,label,CD141,PR:000002105,True
gene,PR:000005268,threonylcarbamoyladenosine tRNA methylthiotransferase,protein,,5.0,any,3.0,threonylcarbamoyladenosine tRNA methylthiotransferase,label,CDKAL1,PR:000005268,True
gene,PR:000004616,beta-secretase 2,protein,,4.0,any,3.0,theta-secretase,exact,DRAP,PR:000004616,True
