id,src,sym,lbl,spid,extid,prefid
TFC491EFF7A86A1701,lambert,AC008770.2,AC008770.2,1,ENSG00000267179,TFC491EFF7A86A1701
TF366ACF42CE4CCEBB,lambert,AC008770.3,AC008770.3,1,ENSG00000267179,TF366ACF42CE4CCEBB
TF9837F24D5ADF39CB,lambert,AC023509.3,AC023509.3,1,ENSG00000267281,TF9837F24D5ADF39CB
TFA91BACA6A8187757,lambert,AC092835.1,AC092835.1,1,ENSG00000233757,TFA91BACA6A8187757
TF25E2A8B125012DB6,lambert,AC138696.1,AC138696.1,1,ENSG00000264668,TF25E2A8B125012DB6
TF3D6E202D3A4D25EC,lambert,Zinc finger protein 41 homolog,AC138696.1,1,ENSG00000264668,TF25E2A8B125012DB6
TF9F1CBA0ACDD08E29,lambert,ADNP,ADNP,1,ENSG00000101126,TF9F1CBA0ACDD08E29
TF117FCC6298143864,lambert,activity dependent neuroprotector homeobox,ADNP,1,ENSG00000101126,TF9F1CBA0ACDD08E29
TF8FEAEB866D889567,lambert,ADNP1,ADNP,1,ENSG00000101126,TF9F1CBA0ACDD08E29
TFFBB331F79B6E4FB7,lambert,HVDAS,ADNP,1,ENSG00000101126,TF9F1CBA0ACDD08E29
TFE5052A23D334620B,lambert,MRD28,ADNP,1,ENSG00000101126,TF9F1CBA0ACDD08E29
TFEF3D05F640943822,lambert,ADNP2,ADNP2,1,ENSG00000101544,TFEF3D05F640943822
TF80E74DE3F41E45B7,lambert,ADNP homeobox 2,ADNP2,1,ENSG00000101544,TFEF3D05F640943822
TF753DE4C98EFBF89D,lambert,ZNF508,ADNP2,1,ENSG00000101544,TFEF3D05F640943822
TF72E20C136312A7D6,lambert,AEBP1,AEBP1,1,ENSG00000106624,TF72E20C136312A7D6
TF5074F5351D8A1D9F,lambert,AE binding protein 1,AEBP1,1,ENSG00000106624,TF72E20C136312A7D6
TF9E34A042224CDC96,lambert,ACLP,AEBP1,1,ENSG00000106624,TF72E20C136312A7D6
TFCF14D5A0FFD525F5,lambert,AEBP2,AEBP2,1,ENSG00000139154,TFCF14D5A0FFD525F5
TFE6708E4AF384E957,lambert,AE binding protein 2,AEBP2,1,ENSG00000139154,TFCF14D5A0FFD525F5
TFFF94617F51C009C1,lambert,AHCTF1,AHCTF1,1,ENSG00000153207,TFFF94617F51C009C1
TFC83DD08724EA9134,lambert,AT-hook containing transcription factor 1,AHCTF1,1,ENSG00000153207,TFFF94617F51C009C1
TFC4FAC1DE319AA405,lambert,ELYS,AHCTF1,1,ENSG00000153207,TFFF94617F51C009C1
TF7BE317666FDC4F5B,lambert,MST108,AHCTF1,1,ENSG00000153207,TFFF94617F51C009C1
TFD40F9EE52A61F076,lambert,MSTP108,AHCTF1,1,ENSG00000153207,TFFF94617F51C009C1
TF07933E9E2D9625AA,lambert,TMBS62,AHCTF1,1,ENSG00000153207,TFFF94617F51C009C1
TFAC828F4A957B765A,lambert,AHDC1,AHDC1,1,ENSG00000126705,TFAC828F4A957B765A
TF21D1650EE6E3D630,lambert,AT-hook DNA binding motif containing 1,AHDC1,1,ENSG00000126705,TFAC828F4A957B765A
TFE8F6CDF8C8332207,lambert,MRD25,AHDC1,1,ENSG00000126705,TFAC828F4A957B765A
TF4A81FC1A273CAA85,lambert,AHR,AHR,1,ENSG00000106546,TF4A81FC1A273CAA85
TF211F878D96A32DD1,lambert,aryl hydrocarbon receptor,AHR,1,ENSG00000106546,TF4A81FC1A273CAA85
TF54DCB56E93E6F038,lambert,RP85,AHR,1,ENSG00000106546,TF4A81FC1A273CAA85
TF3F9A34091010D9BE,lambert,bHLHe76,AHR,1,ENSG00000106546,TF4A81FC1A273CAA85
TFD401D7DAEBD71E03,lambert,AHRR,AHRR,1,ENSG00000063438,TFD401D7DAEBD71E03
TF36A11D35F5E33834,lambert,aryl-hydrocarbon receptor repressor,AHRR,1,ENSG00000063438,TFD401D7DAEBD71E03
TF7ACDC7886FBA621A,lambert,AIRE,AIRE,1,ENSG00000160224,TF7ACDC7886FBA621A
TF73148104728A5955,lambert,autoimmune regulator,AIRE,1,ENSG00000160224,TF7ACDC7886FBA621A
TFA8AD2B4C46E1347D,lambert,AIRE1,AIRE,1,ENSG00000160224,TF7ACDC7886FBA621A
TFE7D14293B95EE897,lambert,APECED,AIRE,1,ENSG00000160224,TF7ACDC7886FBA621A
TF5BD4BE9AB5FE41B5,lambert,APS1,AIRE,1,ENSG00000160224,TF7ACDC7886FBA621A
TFABB9AB16ADECDF57,lambert,APSI,AIRE,1,ENSG00000160224,TF7ACDC7886FBA621A
TF859022119A92B4A2,lambert,PGA1,AIRE,1,ENSG00000160224,TF7ACDC7886FBA621A
TF3573CD1785A8643D,lambert,AKAP8,AKAP8,1,ENSG00000105127,TF3573CD1785A8643D
TF4DCA68851BA518F1,lambert,A-kinase anchoring protein 8,AKAP8,1,ENSG00000105127,TF3573CD1785A8643D
TFA1EF3273C5B38C2F,lambert,AKAP 95,AKAP8,1,ENSG00000105127,TF3573CD1785A8643D
TF300E4930565CE64B,lambert,AKAP-8,AKAP8,1,ENSG00000105127,TF3573CD1785A8643D
TF101B333D3DB4972F,lambert,AKAP-95,AKAP8,1,ENSG00000105127,TF3573CD1785A8643D
TFE7B63870889F9620,lambert,AKAP95,AKAP8,1,ENSG00000105127,TF3573CD1785A8643D
TFFF507D9A8BF768A3,lambert,AKAP8L,AKAP8L,1,ENSG00000011243,TFFF507D9A8BF768A3
TF659FCC964DD82B79,lambert,A-kinase anchoring protein 8 like,AKAP8L,1,ENSG00000011243,TFFF507D9A8BF768A3
TF5A4AB9AE16E93229,lambert,HA95,AKAP8L,1,ENSG00000011243,TFFF507D9A8BF768A3
TF30CBC727140B255A,lambert,HAP95,AKAP8L,1,ENSG00000011243,TFFF507D9A8BF768A3
TF9F0EAC8ECA33A8B9,lambert,NAKAP,AKAP8L,1,ENSG00000011243,TFFF507D9A8BF768A3
TF57F7E8AD09EE963F,lambert,NAKAP95,AKAP8L,1,ENSG00000011243,TFFF507D9A8BF768A3
TF010D0116DDB8280A,lambert,AKNA,AKNA,1,ENSG00000106948,TF010D0116DDB8280A
TFB3DBC757EA8D0C34,lambert,AT-hook transcription factor,AKNA,1,ENSG00000106948,TF010D0116DDB8280A
TFD1310F4533040E97,lambert,ALX1,ALX1,1,ENSG00000180318,TFD1310F4533040E97
TF2F4FB7987CB5BC18,lambert,ALX homeobox 1,ALX1,1,ENSG00000180318,TFD1310F4533040E97
TF5AED60F8DFCCC531,lambert,CART1,ALX1,1,ENSG00000180318,TFD1310F4533040E97
TF9B229182FE3D5840,lambert,FND3,ALX1,1,ENSG00000180318,TFD1310F4533040E97
TF0D8D79A68DA89037,lambert,HEL23,ALX1,1,ENSG00000180318,TFD1310F4533040E97
TF1397588316FF4935,lambert,ALX3,ALX3,1,ENSG00000156150,TF1397588316FF4935
TF9BC8113AECA9C76E,lambert,ALX homeobox 3,ALX3,1,ENSG00000156150,TF1397588316FF4935
TFE892AB345DEE40A2,lambert,FND,ALX3,1,ENSG00000156150,TF1397588316FF4935
TF6A8CD87214B0FC3B,lambert,FND1,ALX3,1,ENSG00000156150,TF1397588316FF4935
TFF1D5BA04DBFEE5EE,lambert,ALX4,ALX4,1,ENSG00000052850,TFF1D5BA04DBFEE5EE
